,created_at,hashtags,lang,location,locationBis,positivity,text
7706,2018-06-17 19:21:11,[],en,,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7707,2018-06-17 19:21:11,"['BRASWI', 'WorldCup18']",en,"Santiago, Chile",CHL,0,Omg yes 😂 Why he has to exaggerate. Besides that. Go Brazil 🙌🏼 #BRASWI #WorldCup18 https://t.co/SXt0OaN89z
7708,2018-06-17 19:21:11,[],en,Worldwide,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7709,2018-06-17 19:21:11,[],en,"Los Angeles, CA",USA,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7710,2018-06-17 19:21:11,[],en,"Port Harcourt, Nigeria",NGA,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7711,2018-06-17 19:21:11,"['Brasil', 'WorldCup']",pt,Somewhere,,0,Neymar!⚽️🇧🇷 #Brasil #WorldCup https://t.co/1icRFVODsr
7712,2018-06-17 19:21:12,[],en,"Tema, Ghana",GHA,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7713,2018-06-17 19:21:12,[],en,Lagos to Accra,PRT,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7714,2018-06-17 19:21:12,[],en,,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7715,2018-06-17 19:21:12,[],en,Birmingham,USA,0,"RT @OptaJean: 10 - The last 12 shots on target faced by Brazil 🇧🇷 in the World Cup:

⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️

Goalkeeper ? #BRA…"
7716,2018-06-17 19:21:12,[],en,,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7717,2018-06-17 19:21:13,[],en,Kenya,KEN,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7718,2018-06-17 19:21:13,[],en,Worldwide,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7719,2018-06-17 19:21:13,[],en,🎯,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7720,2018-06-17 19:21:13,[],en,"Madison, WI",USA,0,Except for the fact that Keita+Fabinho+Fekir &gt;&gt;&gt; Coutinho https://t.co/oU7jRdluXx
7721,2018-06-17 19:21:14,[],en,"here,there,everywhere",,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7722,2018-06-17 19:21:14,[],en,,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7723,2018-06-17 19:21:14,[],en,"Rivers, Nigeria",NGA,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7724,2018-06-17 19:21:14,[],en,,,0,"RT @OptaJean: 10 - The last 12 shots on target faced by Brazil 🇧🇷 in the World Cup:

⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️
⚽️
⚽️
👐🏻
⚽️
⚽️

Goalkeeper ? #BRA…"
7725,2018-06-17 19:21:14,[],en,,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7726,2018-06-17 19:21:15,[],en,On The Moon 🌒,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
7727,2018-06-17 19:21:14,"['swissinLa', 'SUI', 'HoppSchwiiz', 'BRASWI']",en,"Los Angeles, CA",USA,1,#swissinLa going wild after the first #SUI goal! @FIFAWorldCup #HoppSchwiiz #BRASWI https://t.co/EIOmqQDkII
7728,2018-06-17 19:21:15,[],en,BANDO,,-1,"RT @FifunmiRexx: Brazil should beat Switzerland black and blue, the people who without shame and conscience collected all the loot of Abach…"
