Pays1,Pays2,Pays3,Pays4,Pays5,Percentage1,Percentage2,Percentage3,Percentage4,Percentage5,Player1,Player2,Player3,Player4,Player5,Time
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:02:57.409691
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:03:57.455123
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:04:57.498460
Argentina,France,France,France,France,82.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:05:57.574480
Argentina,France,France,France,France,82.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:06:57.614920
Argentina,France,France,France,France,82.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:07:57.668409
Argentina,France,France,France,France,82.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:08:57.740467
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:09:57.815635
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:10:57.894497
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:11:57.953054
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:12:58.014068
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:13:58.099886
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:14:58.155293
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:15:58.230735
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:16:58.305408
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:17:58.338613
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:18:58.381010
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:19:58.452715
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:20:58.538952
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:21:58.585305
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:22:58.671281
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:23:58.740302
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:24:58.801659
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:25:58.868965
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:26:58.940311
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:27:58.976828
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:28:59.022683
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:29:59.051891
Argentina,France,France,France,France,81.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:30:59.095071
